created_at,created_at_stamp,favorite_count,is_retweet,name,retweet_count,screen_name,text,tweet_id,tweet_url,utc_offset
Wed May 31 19:13:00 +0000 2017,2017-05-31 19:13:00,0,0,The Independent,1,Independent,Donald Trump's strangest tweet ever has become a glorious meme https://t.co/6xFhnioZmm,869995143369297920,https://twitter.com/Independent/status/869995143369297920,3600
Wed May 31 19:12:23 +0000 2017,2017-05-31 19:12:23,9,0,CNN,8,CNN,"Reporter: Should people be concerned that Trump posted ""somewhat of an incoherent tweet last night""?

Spicer: No https://t.co/sK0UL2f0FV",869994986078523392,https://twitter.com/CNN/status/869994986078523392,-14400
Wed May 31 19:12:09 +0000 2017,2017-05-31 19:12:09,2,0,Wall Street Journal,3,WSJ,Boeing finds an Ex-Im Bank alternative in Italy https://t.co/6zoxruMgGd,869994928348295172,https://twitter.com/WSJ/status/869994928348295172,-14400
Wed May 31 19:12:07 +0000 2017,2017-05-31 19:12:07,1,0,Wall Street Journal,1,WSJ,Arbitration panel rejects Gazprom’s $34.5 billion claim in dispute with Ukraine’s Naftogaz https://t.co/5y8ogn3Cwx,869994920051867648,https://twitter.com/WSJ/status/869994920051867648,-14400
Wed May 31 19:12:06 +0000 2017,2017-05-31 19:12:06,5,0,Wall Street Journal,4,WSJ,Exxon loses big shareholder vote on climate-risk disclosure https://t.co/v23GwgmkIa,869994916104945664,https://twitter.com/WSJ/status/869994916104945664,-14400
Wed May 31 19:12:03 +0000 2017,2017-05-31 19:12:03,5,0,The Guardian,4,guardian,"To counter racism, you must know what it is – start with the definition in UK law | Letter from Linda Bellos https://t.co/8al476V9Gu",869994902419066880,https://twitter.com/guardian/status/869994902419066880,3600
Wed May 31 19:11:02 +0000 2017,2017-05-31 19:11:02,6,0,The Guardian,2,guardian,Louder than words: the drawings of mute artist Susan Te Kahurangi King https://t.co/7Ehxrg5zpk,869994647657033729,https://twitter.com/guardian/status/869994647657033729,3600
Wed May 31 19:10:41 +0000 2017,2017-05-31 19:10:41,0,1,The Independent,9,Independent,RT @IndyMusic: Ariana Grande Manchester benefit concert: How they plan to make 'completely bonkers idea' safe https://t.co/Zq0kJDzKly https…,869994561036267521,https://twitter.com/Independent/status/869994561036267521,3600
Wed May 31 19:10:14 +0000 2017,2017-05-31 19:10:14,0,0,SFGate,0,SFGate,Video: Passenger forcibly removed from Delta flight https://t.co/4i6CwdoTDL https://t.co/uTJTjdMXvW,869994447617916928,https://twitter.com/SFGate/status/869994447617916928,-25200
Wed May 31 19:10:09 +0000 2017,2017-05-31 19:10:09,12,0,Los Angeles Times,17,latimes,"The number of people who are homeless in L.A. County jumped 23% to nearly 58,000 people https://t.co/O93FCFt84z https://t.co/P0Z5ROBbBS",869994426617143296,https://twitter.com/latimes/status/869994426617143296,-25200
Wed May 31 19:10:07 +0000 2017,2017-05-31 19:10:07,18,0,TIME,8,TIME,Everything you need to know about 'Game of Thrones' season 7 https://t.co/qtA5Xyi2k3,869994417645645824,https://twitter.com/TIME/status/869994417645645824,-14400
Wed May 31 19:10:05 +0000 2017,2017-05-31 19:10:05,10,0,Wall Street Journal,5,WSJ,"Aetna to move headquarters out of Connecticut, according to Hartford mayor https://t.co/0m4UVqzyo7",869994410410487809,https://twitter.com/WSJ/status/869994410410487809,-14400
