created_at,utc_offset,text,tweet_url,screen_name,name,retweet_count,favorite_count
Sat May 20 22:49:49 +0000 2017,-14400,"Chris Cornell sang as if he were bearing the weight of the world, our critic writes https://t.co/Jcfrfxdblo",https://twitter.com/nytimes/status/866063442230341632,nytimes,The New York Times,19,55
Sat May 20 22:32:38 +0000 2017,-14400,"Where is North Korea? Here are guesses from 1,746 adults. https://t.co/cp40Ano9i3",https://twitter.com/nytimes/status/866059117902876672,nytimes,The New York Times,167,161
Sat May 20 22:17:04 +0000 2017,-14400,Robert De Niro gives one of his best screen performances in years as Bernie Madoff https://t.co/edmaUun8mo,https://twitter.com/nytimes/status/866055198531309568,nytimes,The New York Times,242,744
Sat May 20 22:04:08 +0000 2017,-14400,"The answers about what is happening in Antarctica carry profound implications for humanity
 https://t.co/r2Slz5FRh1",https://twitter.com/nytimes/status/866051941918539777,nytimes,The New York Times,445,505
Sat May 20 21:50:05 +0000 2017,-14400,"The prospect that 58,000 Haitians in the U.S. could be forced to return has raised a rare bipartisan outcry https://t.co/1nSaV8shcE",https://twitter.com/nytimes/status/866048408519311361,nytimes,The New York Times,214,267
Sat May 20 21:38:07 +0000 2017,-14400,Regulatory rollbacks under EPA head Scott Pruitt are crowning an early champion with Devon Energy… https://t.co/6W1DiNG19u,https://twitter.com/nytimes/status/866045396237398016,nytimes,The New York Times,192,133
Sat May 20 21:24:05 +0000 2017,-14400,"How should Christian schools, which advocate abstinence until marriage, treat pregnant teenagers? https://t.co/KIjTfIP5zX",https://twitter.com/nytimes/status/866041866332114945,nytimes,The New York Times,176,306
Sat May 20 21:10:05 +0000 2017,-14400,"Members of Trump's team suggested that he calm down, spend less time tweeting, and avoid making decisions rashly https://t.co/XZ5hkAlI9M",https://twitter.com/nytimes/status/866038341652938753,nytimes,The New York Times,283,581
Sat May 20 20:56:06 +0000 2017,-14400,A look at Triple Crown winner American Pharoah's first foals ahead of the Preakness Stakes https://t.co/xlKXGfvpla https://t.co/a61yewFPKc,https://twitter.com/nytimes/status/866034822304731136,nytimes,The New York Times,95,246
Sat May 20 20:42:06 +0000 2017,-14400,Our top 10 comments of the week https://t.co/KwZJe6dUvG https://t.co/LpKfsN8Pbw,https://twitter.com/nytimes/status/866031298871209984,nytimes,The New York Times,159,618
Sat May 20 20:15:04 +0000 2017,-14400,Brazilian president Michel Temer made it clear that he won't resign in the face of a simmering corruption scandal https://t.co/KpaNILiCdg,https://twitter.com/nytimes/status/866024496830050304,nytimes,The New York Times,191,224
Sat May 20 20:02:02 +0000 2017,-14400,"Turkish NBA player Enes Kantor said he was detained in Romania because he opposed Erdogan, whom he likened to Hitler https://t.co/h3BLWJr14j",https://twitter.com/nytimes/status/866021217534455808,nytimes,The New York Times,443,535
