,created_at,text,url,screen_name,name,retweet_count,favorite_count,is_retweet
0,Tue May 16 06:37:58 +0000 2017,Think twice before heading to the emergency room for less-than-urgent problems  https://t.co/CC17sKk2Uq,https://t.co/CC17sKk2Uq,nytimes,The New York Times,33,73,False
1,Tue May 16 06:21:50 +0000 2017,"How to clean your home thoroughly and efficiently, starting now https://t.co/5JYTc2xqty",https://t.co/5JYTc2xqty,nytimes,The New York Times,48,142,False
2,Tue May 16 06:05:36 +0000 2017,Arab TV Series Dramatizes Life Under ISIS https://t.co/UqI4DltxUS,https://t.co/UqI4DltxUS,nytimes,The New York Times,63,112,False
3,Tue May 16 05:52:25 +0000 2017,What was unusual about Tom Brady’s stolen Super Bowl Jersey? He got it back. https://t.co/ibiZTTeHPF,https://t.co/ibiZTTeHPF,nytimes,The New York Times,26,77,False
4,Tue May 16 05:35:53 +0000 2017,"Where is North Korea? Here are guesses from 1,746 adults. https://t.co/lUDJAyrchx",https://t.co/lUDJAyrchx,nytimes,The New York Times,239,299,False
5,Tue May 16 05:19:26 +0000 2017,A 10-year-old who was repeatedly raped by her stepfather may be forced to give birth due to India's abortion law https://t.co/rLHDe7C6a4,https://t.co/rLHDe7C6a4,nytimes,The New York Times,365,205,False
6,Tue May 16 05:01:06 +0000 2017,"Driving through Nevada? With a new speed limit, one part of the state may be a blur. https://t.co/8ilJLyKiWV",https://t.co/8ilJLyKiWV,nytimes,The New York Times,74,209,False
7,Tue May 16 04:51:05 +0000 2017,"Dutch fertility doctor swapped donors’ sperm with his, lawsuit claims https://t.co/uBBCeeWLHE",https://t.co/uBBCeeWLHE,nytimes,The New York Times,55,114,False
8,Tue May 16 04:41:05 +0000 2017,How to lower the chances of your luggage taking a trip without you https://t.co/43nCrhiCVm,https://t.co/43nCrhiCVm,nytimes,The New York Times,87,186,False
9,Tue May 16 04:31:03 +0000 2017,"Want to buy a home? Skip the avocado toast, a real estate mogul suggests. https://t.co/WqtwLRu2AK",https://t.co/WqtwLRu2AK,nytimes,The New York Times,110,267,False
10,Tue May 16 06:42:01 +0000 2017,"EXCLUSIVE: Anna Friel stuns guests as she gropes toyboy Charlie Heaton, 17 years her junior https://t.co/f2DaLJoX8j https://t.co/ZyF3GmaNRN",https://t.co/f2DaLJoX8j,TheSun,The Sun,0,1,False
11,Tue May 16 06:33:21 +0000 2017,RT @SunVideo: Ian Brady’s former penpal Cody Lachey explains why he wouldn’t reveal location of Keith Bennett’s body https://t.co/aC3ZgIwL1j,https://t.co/aC3ZgIwL1j,TheSun,The Sun,1,0,False
12,Tue May 16 06:32:57 +0000 2017,RT @TheSunTV: Emmerdale spoilers: Robert Sugden admits to cheating on husband Aaron Dingle after romp in their new home https://t.co/NdPQWX…,https://twitter.com/TheSunTV/status/864367333782863873,TheSun,The Sun,1,0,False
13,Tue May 16 06:32:01 +0000 2017,Former Page 3 girl Rhian Sugden has naked photos hacked and posted online https://t.co/9Sg6oTgtHH https://t.co/KqNFyzgxhX,https://t.co/9Sg6oTgtHH,TheSun,The Sun,1,2,False
14,Tue May 16 06:27:02 +0000 2017,REVEALED: Here's how to sex up your summer and make your love life sizzle @drpamspurr https://t.co/4xWaef89pC https://t.co/atQuzobmrb,https://t.co/4xWaef89pC,TheSun,The Sun,1,1,False
15,Tue May 16 06:22:01 +0000 2017,Everything we know about Ian Brady and the Moors murders https://t.co/7LoZIjlo7u https://t.co/VPPc90WImJ,https://t.co/7LoZIjlo7u,TheSun,The Sun,0,0,False
16,Tue May 16 06:22:00 +0000 2017,RT @TheSunShowbiz: Calum Best signs up for Celebs Go Dating after splitting from Playboy model Lindsey Pelas https://t.co/vW3BKOtlqv,https://t.co/vW3BKOtlqv,TheSun,The Sun,1,0,False
17,Tue May 16 06:12:01 +0000 2017,Man and woman filmed in x-rated street row as she claims he 'sh***ed his dog' https://t.co/rPs6KD0LGI https://t.co/DrkQ60UPpM,https://t.co/rPs6KD0LGI,TheSun,The Sun,3,3,False
18,Tue May 16 06:08:06 +0000 2017,"RT @talkRADIO: After Ian Brady died, would you be in favour of the death penalty? #BetterCallPaul 0344 499 1000 @paulross @TheSun https://t…",https://twitter.com/talkRADIO/status/864347333344894976,TheSun,The Sun,6,0,False
19,Tue May 16 06:07:33 +0000 2017,RT @TheSunWoman: NHS doctors resort to sending patient details over WhatsApp as health service goes into meltdown after cyber-attack https:…,https://twitter.com/TheSunWoman/status/864348438816669697,TheSun,The Sun,1,0,False
20,Tue May 16 06:20:01 +0000 2017,A British island in the South Pacific has the highest level of plastic pollution in the world… https://t.co/P3nRmVxbi9,https://t.co/P3nRmVxbi9,thetimes,The Times of London,17,4,False
21,Tue May 16 06:12:01 +0000 2017,The FTSE 100 reached a fresh record high thanks to an oil deal between Russia and Saudi Arabia… https://t.co/8xu17e4Hyu,https://t.co/8xu17e4Hyu,thetimes,The Times of London,6,4,False
22,Tue May 16 06:05:01 +0000 2017,".@HenryWinter picks his Premier League team of the season -
 and there are one or two surprises… https://t.co/xGp7C8aFG4",https://t.co/xGp7C8aFG4,thetimes,The Times of London,4,3,False
23,Tue May 16 06:00:03 +0000 2017,Isis threw a 'gay' Syrian teenager from a roof and cut his throat when he survived. Now his father is vowing reveng… https://t.co/ePeH4mAevK,https://t.co/ePeH4mAevK,thetimes,The Times of London,22,14,False
24,Tue May 16 05:56:01 +0000 2017,Donald Trump ‘gave away classified secrets’ at a meeting with the Russian foreign minister https://t.co/sxwt0uZbiX https://t.co/1AKu2iLtyE,https://t.co/sxwt0uZbiX,thetimes,The Times of London,15,6,False
25,Tue May 16 05:50:01 +0000 2017,"Theresa May's Tories are edging towards the tax they dare not name, says @RSylvesterTimes
https://t.co/BKiuek1QFq https://t.co/hz1AK0jEtk",https://t.co/BKiuek1QFq,thetimes,The Times of London,8,5,False
26,Tue May 16 05:45:01 +0000 2017,Hordes of cruise passengers are annoying residents on the tranquil Orkney Islands https://t.co/27Oj0f1E0G https://t.co/py6c3ncZjH,https://t.co/27Oj0f1E0G,thetimes,The Times of London,2,3,False
27,Tue May 16 05:40:01 +0000 2017,"""May you rot in hell"": victims' families celebrate the death of the Moors Murderer Ian Brady https://t.co/wweRmZrqJt https://t.co/4BuHBJdKuK",https://t.co/wweRmZrqJt,thetimes,The Times of London,6,10,False
28,Tue May 16 05:30:01 +0000 2017,These pupils in Nairobi protested the demolition of their school by blocking a busy road with their desks… https://t.co/mg6G3uUqpn,https://t.co/mg6G3uUqpn,thetimes,The Times of London,6,9,False
29,Tue May 16 05:22:31 +0000 2017,One of the world's biggest drug companies faces a £220m fine for hiking the price of lifesaving cancer medicine… https://t.co/0BYWDCECLb,https://t.co/0BYWDCECLb,thetimes,The Times of London,20,15,False
30,Tue May 16 06:43:42 +0000 2017,BREAKING: South Korean media says new president will visit the White House next month amid worries over North Korea. https://t.co/9Ur9VaC5oN,https://t.co/9Ur9VaC5oN,AP,The Associated Press,38,28,False
31,Tue May 16 06:30:11 +0000 2017,Mexican journalist honored for his coverage of drug traffickers is shot to death in Mexico drug state. https://t.co/NxiDMXrlEJ,https://t.co/NxiDMXrlEJ,AP,The Associated Press,143,89,False
32,Tue May 16 06:01:26 +0000 2017,"RT @gillianwong: China's chase of 'golden visas': US, Canada, Portugal, Australia top list https://t.co/gJXKAAETEW 
More here  https://t.co…",https://t.co/gJXKAAETEW,AP,The Associated Press,24,0,False
33,Tue May 16 06:00:02 +0000 2017,Two killed as chaos erupts in western Venezuela during another round of protests against the socialist government. https://t.co/YDzVKxbh8k,https://t.co/YDzVKxbh8k,AP,The Associated Press,104,51,False
34,Tue May 16 05:40:51 +0000 2017,"The Trump White House returns to crisis mode as it reacts to yet another bombshell. By @colvinj, @catherine_lucey. https://t.co/XiJGZN5eIe",https://t.co/XiJGZN5eIe,AP,The Associated Press,196,249,False
35,Tue May 16 05:00:14 +0000 2017,RT @APCentralRegion: #Arkansas judge issues gag order in case of man accused of killing sheriff's deputy and two others. https://t.co/OZJrE…,https://twitter.com/APCentralRegion/status/864148266421817345,AP,The Associated Press,21,0,False
36,Tue May 16 04:51:03 +0000 2017,Canadian woman 'shocked' to find that her picture of Sean Spicer in the bushes trending on social media. https://t.co/7a7WLySUZf,https://t.co/7a7WLySUZf,AP,The Associated Press,131,397,False
37,Tue May 16 04:33:41 +0000 2017,"Fidget spinners, the hot toy that spun out of nowhere, @josephpisani writes. https://t.co/3gEGBbI36W https://t.co/qNjiK0b4If",https://t.co/3gEGBbI36W,AP,The Associated Press,75,126,False
38,Tue May 16 04:20:12 +0000 2017,".@AP Exclusive: More than 100,000 Chinese spent at least $24 billion on “golden visas” in a 2nd country since 2007.… https://t.co/xMnMIgpsnR",https://t.co/xMnMIgpsnR,AP,The Associated Press,151,103,False
